"Statistic Label","Fuel Type","Year","UNIT","VALUE"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2011","ktoe","738"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2012","ktoe","745"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2013","ktoe","775"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2014","ktoe","874"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2015","ktoe","1013"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2016","ktoe","1005"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2017","ktoe","1177"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2018","ktoe","1335"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2019","ktoe","1478"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2020","ktoe","1635"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2021","ktoe","1514"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2022","ktoe","1712"
"Primary Energy Production (ktoe)","Hydro","1990","ktoe","60"
"Primary Energy Production (ktoe)","Hydro","1991","ktoe","64"
"Primary Energy Production (ktoe)","Hydro","1992","ktoe","70"
"Primary Energy Production (ktoe)","Hydro","1993","ktoe","66"
"Primary Energy Production (ktoe)","Hydro","1994","ktoe","79"
"Primary Energy Production (ktoe)","Hydro","1995","ktoe","61"
"Primary Energy Production (ktoe)","Hydro","1996","ktoe","62"
"Primary Energy Production (ktoe)","Hydro","1997","ktoe","58"
"Primary Energy Production (ktoe)","Hydro","1998","ktoe","79"
"Primary Energy Production (ktoe)","Hydro","1999","ktoe","73"
"Primary Energy Production (ktoe)","Hydro","2000","ktoe","73"
"Primary Energy Production (ktoe)","Hydro","2001","ktoe","51"
"Primary Energy Production (ktoe)","Hydro","2002","ktoe","78"
"Primary Energy Production (ktoe)","Hydro","2003","ktoe","51"
"Primary Energy Production (ktoe)","Hydro","2004","ktoe","54"
"Primary Energy Production (ktoe)","Hydro","2005","ktoe","54"
"Primary Energy Production (ktoe)","Hydro","2006","ktoe","62"
"Primary Energy Production (ktoe)","Hydro","2007","ktoe","57"
"Primary Energy Production (ktoe)","Hydro","2008","ktoe","83"
"Primary Energy Production (ktoe)","Hydro","2009","ktoe","78"
"Primary Energy Production (ktoe)","Hydro","2010","ktoe","52"
"Primary Energy Production (ktoe)","Hydro","2011","ktoe","61"
"Primary Energy Production (ktoe)","Hydro","2012","ktoe","69"
"Primary Energy Production (ktoe)","Hydro","2013","ktoe","52"
"Primary Energy Production (ktoe)","Hydro","2014","ktoe","61"
"Primary Energy Production (ktoe)","Hydro","2015","ktoe","69"
"Primary Energy Production (ktoe)","Hydro","2016","ktoe","59"
"Primary Energy Production (ktoe)","Hydro","2017","ktoe","59"
"Primary Energy Production (ktoe)","Hydro","2018","ktoe","60"
"Primary Energy Production (ktoe)","Hydro","2019","ktoe","76"
"Primary Energy Production (ktoe)","Hydro","2020","ktoe","80"
"Primary Energy Production (ktoe)","Hydro","2021","ktoe","64"
"Primary Energy Production (ktoe)","Hydro","2022","ktoe","60"
"Primary Energy Production (ktoe)","Wind","1990","ktoe","-"
"Primary Energy Production (ktoe)","Wind","1991","ktoe","-"
"Primary Energy Production (ktoe)","Wind","1992","ktoe","0"
"Primary Energy Production (ktoe)","Wind","1993","ktoe","1"
"Primary Energy Production (ktoe)","Wind","1994","ktoe","2"
"Primary Energy Production (ktoe)","Wind","1995","ktoe","1"
"Primary Energy Production (ktoe)","Wind","1996","ktoe","1"
"Primary Energy Production (ktoe)","Wind","1997","ktoe","4"
"Primary Energy Production (ktoe)","Wind","1998","ktoe","15"
"Primary Energy Production (ktoe)","Wind","1999","ktoe","16"
"Primary Energy Production (ktoe)","Wind","2000","ktoe","21"
"Primary Energy Production (ktoe)","Wind","2001","ktoe","29"
"Primary Energy Production (ktoe)","Wind","2002","ktoe","33"
"Primary Energy Production (ktoe)","Wind","2003","ktoe","39"
"Primary Energy Production (ktoe)","Wind","2004","ktoe","56"
"Primary Energy Production (ktoe)","Wind","2005","ktoe","96"
"Primary Energy Production (ktoe)","Wind","2006","ktoe","139"
"Primary Energy Production (ktoe)","Wind","2007","ktoe","168"
"Primary Energy Production (ktoe)","Wind","2008","ktoe","207"
"Primary Energy Production (ktoe)","Wind","2009","ktoe","254"
"Primary Energy Production (ktoe)","Wind","2010","ktoe","242"
"Primary Energy Production (ktoe)","Wind","2011","ktoe","377"
"Primary Energy Production (ktoe)","Wind","2012","ktoe","345"
"Primary Energy Production (ktoe)","Wind","2013","ktoe","391"
"Primary Energy Production (ktoe)","Wind","2014","ktoe","442"
"Primary Energy Production (ktoe)","Wind","2015","ktoe","565"
"Primary Energy Production (ktoe)","Wind","2016","ktoe","529"
"Primary Energy Production (ktoe)","Wind","2017","ktoe","640"
"Primary Energy Production (ktoe)","Wind","2018","ktoe","743"
"Primary Energy Production (ktoe)","Wind","2019","ktoe","862"
"Primary Energy Production (ktoe)","Wind","2020","ktoe","993"
"Primary Energy Production (ktoe)","Wind","2021","ktoe","841"
"Primary Energy Production (ktoe)","Wind","2022","ktoe","964"
"Primary Energy Production (ktoe)","Biomass","1990","ktoe","105"
"Primary Energy Production (ktoe)","Biomass","1991","ktoe","101"
"Primary Energy Production (ktoe)","Biomass","1992","ktoe","89"
"Primary Energy Production (ktoe)","Biomass","1993","ktoe","90"
"Primary Energy Production (ktoe)","Biomass","1994","ktoe","91"
"Primary Energy Production (ktoe)","Biomass","1995","ktoe","89"
"Primary Energy Production (ktoe)","Biomass","1996","ktoe","95"
"Primary Energy Production (ktoe)","Biomass","1997","ktoe","92"
"Primary Energy Production (ktoe)","Biomass","1998","ktoe","112"
"Primary Energy Production (ktoe)","Biomass","1999","ktoe","105"
"Primary Energy Production (ktoe)","Biomass","2000","ktoe","113"
"Primary Energy Production (ktoe)","Biomass","2001","ktoe","125"
"Primary Energy Production (ktoe)","Biomass","2002","ktoe","125"
"Primary Energy Production (ktoe)","Biomass","2003","ktoe","119"
"Primary Energy Production (ktoe)","Biomass","2004","ktoe","141"
"Primary Energy Production (ktoe)","Biomass","2005","ktoe","180"
"Primary Energy Production (ktoe)","Biomass","2006","ktoe","181"
"Primary Energy Production (ktoe)","Biomass","2007","ktoe","170"
